,Name,rating,Contribution,userLocation,reviewMessage,month,year
377,Cindy C,5.0,153,"Belton, MO",Great overview,0,0
378,Glenn,2.0,4,"Fernandina Beach, FL",Boston Trip,0,0
379,Theresafox5,5.0,64,"Bandon, OR",Good choice,0,0
380,Tacie H,5.0,5,"Hendersonville, TN",Boston  Trolley  Tour,May,2022
381,EcoBean,4.0,239,"Kennington, UK",Well Organised and Very Regular,Apr,2022
382,yigalkatan,1.0,42,"Tel Aviv, Israel",Waste of time and money,May,2022
383,Erin B,5.0,3,0,Best tour group inBoston,May,2022
384,Bonnie M,5.0,4,0,History &amp; a great ride!,0,0
385,Laura W,5.0,1,"Chicago, IL",Great,May,2022
386,Carlos L,5.0,1,"Bronx, NY",Best tour ever,May,2022
387,Erin P,4.0,4,0,Ding ding here comes the trolley!,0,0
388,Laura S,5.0,65,"Melbourne, FL",Great city overview,0,0
389,Diane M,5.0,29,"Valencia, Spain",Great way to explore!,Apr,2022
390,Timothy L,5.0,17,"Atlanta, GA",Fantastic tour of Boston!,May,2022
391,Expedition545368,4.0,2,0,May 18 2022,0,0
392,Anita H,5.0,2,0,Learn while relaxing,0,0
393,Barb E,5.0,7,0,Explore every nook &amp; cranny of the town you’re in as often as you like,May,2022
394,Lori C,5.0,1,0,Boston,0,0
395,cindyslackteam,5.0,5,0,Easy to use. We could learn everything we wanted to and get the lay of the land on our first day.,0,0
396,heidigirlrn,5.0,4,"Riverbank, CA",Highly recommend,0,0
397,Melissa P,5.0,1,0,A must do tour,May,2022
398,Linda F,5.0,2,0,Fun choice,May,2022
399,600md,4.0,4,"Grand Rapids, MI",Great way to see major points,May,2022
400,Gail K,5.0,13,0,Nice visit,0,0
401,Catherine M,5.0,2,0,Sightseeing with ease!,0,0
402,Stephanie A,5.0,3,"Texas Gulf Coast, TX",Great experience!,May,2022
403,Jane H,5.0,1,0,Great time!,0,0
404,XSki007,5.0,"1,237",New Jersey,Fun Trip,0,0
405,donna b,5.0,1,0,"Best Hop On, Hope off",May,2022
406,Corinne I,5.0,21,0,Fantastic,May,2022
407,Linda K,4.0,93,"Boston, MA","As a local, great way to see it all!",Nov,2021
408,George B,4.0,2,0,Great way to get an overview of the city and what there is to see.,0,0
409,Vitamin_Veets,4.0,815,"Raleigh, NC",Good Way to See the Town,0,0
410,Elizabeth S,5.0,6,"Puerto Vallarta, Mexico",Enjoyed the tour,May,2022
411,Mark T,5.0,14,0,Great service,Apr,2022
412,ROBERTO A,1.0,1,0,"Lousy Policy, Lousy Experience",Apr,2022
413,ETraveler55,5.0,2,0,Bug  helped create a great memory.,Apr,2022
414,suefromNYC321,5.0,33,"New York City, NY",First time in Boston,Apr,2022
415,Gennie H,5.0,1,0,Bug was great!,Apr,2022
416,Swiz,1.0,144,"Glace Bay, Canada","20 minutes, yeah sure",Apr,2022
417,John H,5.0,8,0,Great experience!,Apr,2022
418,Mslalo,5.0,58,La Habra,Trolley is a must,Apr,2022
419,Terry I,5.0,21,"Starke, FL",Great trolley tour,Apr,2022
420,Armenouhie H,4.0,2,"Averill Park, NY",Trolley tour,0,0
421,Alex HV,5.0,22,"London, UK",Great Tour,0,0
422,Jennifer O,5.0,150,"Fords, NJ",Great way to see the city,0,0
423,Dawn S,5.0,97,"Lowville, NY",Hop -On Hop-Off Trolley is Tremendous!,Apr,2022
424,SilverTraveler2,5.0,202,"Castle Rock, WA",Highly Recommend...Easy Way To See The City,0,0
425,Wai Ho W,5.0,1,0,Good trip in Boston,Apr,2022
426,Kim C,5.0,4,0,Great way to see some of the highlights of central Boston,0,0
427,LOTRfan,5.0,324,"Jessup, MD",Mr. Magoo Is A Great Tour Guide!,Nov,2021
428,LGS81,4.0,4,"Norman, OK",Good but inconsistent.,0,0
429,James B,5.0,1,"Brooklyn, NY",The greatest Bus Tour of Boston,0,0
430,Euphfee,5.0,21,"Glasgow, UK",Hop on Hop off,Apr,2022
431,Robert F,5.0,1,0,A great tour of Boston.,0,0
432,Aimee W,5.0,3,0,Boston Trolley Tour,Apr,2022
433,Candace R,4.0,14,"Traverse City, MI",Great tour,Apr,2022
434,Kylie,3.0,3,0,Not value for money on this occasion,0,0
435,Char J,5.0,237,"Indianapolis, IN",Great way to get around Boston and learn about key sites,0,0
436,imazoe,5.0,16,"Miami, FL",Old Town Trolley never disappoints.,Apr,2022
437,EZVacations9,5.0,31,"Ellicott City, MD","High energy, educational tour!",0,0
438,Marcy B,5.0,29,"Spring, TX",Great overview!!!,0,0
439,Skye L,5.0,8,0,ginger and big wheel! great tour of boston,0,0
440,Renee,5.0,1,"Accord, NY",Boston Sight Seeing Basics,0,0
441,Climber46519,5.0,2,0,Great experience to visit Boston,Apr,2022
442,Bobbi79,5.0,5,"St. Paul, MN",Always a great tour!,Apr,2022
443,John M,5.0,7,0,Great way to see a great city,0,0
444,Cynthia T,5.0,6,United States,Excellent tour guide,Apr,2022
445,Cassandra H,5.0,8,"Lithonia, GA",TERRIFIC,Apr,2022
446,Sara B,5.0,3,0,Boston tour,Mar,2022
447,Footprints89106,5.0,2,0,"Great tour guide, best way to get around Boston.",0,0
448,David M,2.0,32,0,Avoid This Trolley Tour If At All Possible,Mar,2022
449,1kidneygirl,1.0,2,Massachusetts,A disappointing experience,Mar,2022
450,sldrost,5.0,3,"Tacoma, WA",Trolly fun!,0,0
451,Deborah E,5.0,76,"Lancaster, PA",Great way to see Boston!!!,Mar,2022
452,Erin,5.0,2,0,Tour with Tiger!,Mar,2022
453,J &amp; D,5.0,136,"Melbourne, Australia",Great way to see the sights with a great commentary.,0,0
454,Deborah B,5.0,11,0,Great tour guide,Mar,2022
455,bizappellini,5.0,16,0,Great tour,Mar,2022
456,1RaiderFan,5.0,324,"Schenectady, NY",Fun way to spend time in Beantown!,0,0
457,Cindy-and-Sam,5.0,3,"Lexington, SC",Great tour great guides,Mar,2022
458,ARaines2018,5.0,25,"Hartford, AL",Boston tour,0,0
459,Becky B,5.0,142,"Lancaster, PA",Best way to see Boston!,0,0
460,Lacy C,5.0,1,"Boston, MA",Murph was great!,0,0
461,Jose3349,4.0,6,"Miami, FL","Could run for longer hrs,",0,0
462,Sam S,5.0,1,0,Great Boston hop on hop off tour.,Jan,2022
463,martyn,5.0,2,0,The best way to see Boston!!!,0,0
464,Nisreen F,5.0,2,0,Great Time,Dec,2021
465,mrdanusa,5.0,3,"Paris, France",Informative and Entertaining with Crafty,0,0
466,Momleit,5.0,14,New Jersey,Boston weekend,Dec,2021
467,Barbara C,5.0,16,"Harrisburg, PA","Wow, Boston's Trolleys are Superbowl Champ  quality too!",Dec,2021
468,Emily H,3.0,1,0,"Good, not great",Dec,2021
469,4graceboys,3.0,2,"Westlake Village, CA",Meh,Nov,2021
470,Josh T,5.0,117,"Athens, PA",Worth the Money!!,Nov,2021
471,Josephine L,5.0,1,0,Great tour and workers,Nov,2021
472,Sam,5.0,14,0,Magoo is the man!,Nov,2021
473,TripleWhit,5.0,22,"Paris, IL",Best way to sightsee in Boston,0,0
474,Tracy Cloud,5.0,14,"Sneads, FL",Captain Matty was great!,Nov,2021
475,Precious M,5.0,1,0,Trolley Review,Nov,2021
476,Ana L,5.0,2,0,Super fun historical tour,Nov,2021
477,christybb,4.0,18,"Waynesville, NC",Ride with Mcgoo!! He was the best.,0,0
478,Momuv4boys,5.0,60,Texas,Don’t Hesitate—Well Worth the Money!,0,0
479,Deathin1985,5.0,38,"Louisville, KY",Great information.,0,0
480,Stefanie S,5.0,6,0,Good experience!,Nov,2021
481,Carly J,5.0,24,"Houston, TX",Awesome Tour!,Oct,2021
482,Al,5.0,6,0,Fun way to learn a lot of Boston’s history,Nov,2021
483,Danielle M,5.0,1,0,Love This Tour,0,0
484,Cwallrn,5.0,7,"Kansas City, MO",Great way to see the City,0,0
485,Levi C,5.0,1,0,Great way to see the city,Oct,2021
486,Melissa A,5.0,1,0,Great,Oct,2021
487,Will,5.0,11,"Lee's Summit, MO",Amazing Trolley Tour,0,0
488,Susan G,3.0,3,"Hammond, LA",Ho hum,Oct,2021
489,DNAtells,4.0,18,"Mayo, SC",Good way to see the city,0,0
490,Mike S,3.0,"1,738","Arlington, TX",Good But With Limitations,0,0
491,kate055,3.0,206,Ireland,Disappointed this time,0,0
492,Nicole Dela Cruz,5.0,8,"Las Vegas, NV",A Day in Boston,Oct,2021
493,Summer B,5.0,1,0,Extremely helpful,Oct,2021
494,Sam,5.0,1,"Pasco, WA",Best activity we did in Boston!,0,0
495,Wanderer173057,5.0,2,0,Best tour in town!,0,0
496,Nancy C,4.0,34,"McDonough, GA",Very informative &amp; fun!,Oct,2021
497,Peter V,5.0,4,0,Boston Trolley,Oct,2021
498,Kathy A,5.0,7,0,Boston or bust!,Oct,2021
499,Taylor Z,2.0,1,0,Deceiving,Oct,2021
500,Richard P,5.0,78,Tucson,A Great Overview of the City,Sep,2021
501,C2R,5.0,9,"Tucson, AZ",Boston Hop,Oct,2021
502,Marek5,4.0,2,0,Great time!,0,0
503,Charlie A,5.0,146,"Huntington, WV",Fantastic trolley,Oct,2021
504,Arianna Jurek,5.0,2,0,Great experience!,Oct,2021
505,Bob B.,4.0,64,St. Louis,Great info and intro to the city,Oct,2021
506,twinmom2021,5.0,6,"Indianapolis, IN",Great way to see Boston,Oct,2021
507,beth b,5.0,39,"Fife, WA",Great Guide,Oct,2021
508,Jeanne U,5.0,37,"Gibson City, IL",Would highly recommend the trolley.  We added the Boston Harbor cruise option with a discount.,0,0
509,Keri H,4.0,2,0,First time Boston visitors,Oct,2021
510,Nicole H,5.0,21,0,Excellent tour,0,0
511,Catharine M,5.0,2,0,Papa Jim was the best tour guide!,Oct,2021
512,gmarcella31,5.0,5,"San Ramon, CA",Boston in a weekend,Oct,2021
513,Mindy K,5.0,4,0,Relaxing way to hear the “real story”,Oct,2021
514,peternanna,2.0,28,"Bozeman, MT",Way too loud and no real history just bad jokes for hours,0,0
515,Bev L,5.0,4,0,"Fun, but abbreviated",Oct,2021
516,karla,5.0,1,"Livingston, TX",Awesome Trolley tour in Boston,0,0
517,Dylan B,5.0,1,0,Great tour and even greater tour guide!,Oct,2021
518,Mickey M,5.0,1,0,Makes exploring Boston fun and easy,Oct,2021
519,Shannon B,5.0,1,0,Highly recommend,0,0
520,Paige R,5.0,329,"Nashville, TN",Sean Was Fabulous!!,Oct,2021
521,wndsong,5.0,121,"Springfield, MO",Great tour,Oct,2021
522,Alicia1124,3.0,6,"Hershey, PA",Not a footstep saver,Oct,2021
523,Joyce B,5.0,4,"Easley, SC",Excellent in every way!!,Oct,2021
524,Barb H,5.0,5,Cincinnati,Trolley tour,Oct,2021
525,188Jean,5.0,13,"Santa Cruz, CA",Best tour guide ever —-Magoo!!!!!,Oct,2021
526,Helen L,4.0,131,Florida,Papa Jim made it a great way to see the city!,Sep,2021
527,go42kaz,5.0,18,"Cincinnati, OH",A great way to see the city!,0,0
528,Mick and Amy,5.0,30,"Three Oaks, MI",We loved Mr. Magoo,Oct,2021
529,Debra H,5.0,117,"Philadelphia, PA",Loved the Trolley Tour,Oct,2021
530,Gary C,5.0,1,0,Excellent experience,Oct,2021
531,Rodger K,5.0,2,0,Highly recommend Old Town Trolley in Boston with Gonzo,0,0
532,Bridget C,5.0,3,0,"Hop On, Hop Off, MUST DO",0,0
533,Sara B,5.0,6,"Brainerd, MN",Great Experience,Sep,2021
534,Lakerstin,5.0,2,"Hannover, Germany",City Tour,Oct,2021
535,StacyCentralFlorida,5.0,115,Central Florida,A fun way to see Boston!,0,0
536,Jane H,5.0,1,0,Cubbies bus,Sep,2021
537,Angela G,5.0,1,0,The best way to see the city,Oct,2021
538,Ellen W,5.0,162,"Montgomery, TX","Wow! Every driver was fabulous, short wait for next bus each time- thoroughly enjoyed it!",0,0
539,Ed S,5.0,8,0,Best educational and entertaining tour,Sep,2021
540,David J,5.0,1,0,CUBBIE!,Sep,2021
541,Mike H,5.0,1,0,Mr. Magoo best trolley driver ever.......Give that man a raise....He reall loves his job.,Sep,2021
542,Rodney Hammonds,4.0,1,"Pawtucket, RI",Just as I had always expected..,0,0
543,LuckyFilly,5.0,52,"Louisville, KY",Seeing the sights with Welby,Sep,2021
544,Tad Rhodes,5.0,12,"Muldrow, OK",Great Boston Experience!,0,0
545,BGriff,5.0,3,"Kirkland, WA",Great tour for any age,0,0
546,mollyjean62,5.0,1,"Abilene, TX",Best Hop On/Hop Off Trolley Tour in Boston!,Sep,2021
547,Yacoba,5.0,2,0,Entertaining and Educational,Sep,2021
548,Michelle F,5.0,1,"Huntingdon Valley, PA",Great day,0,0
549,TishCalifornia,5.0,71,California,Hop on this.  It's the best!!,Sep,2021
550,Katie S,5.0,1,"Monroeville, PA",Gordie,0,0
551,hatchd1,5.0,6,"Spokane Valley, WA",Worth it!,0,0
552,tribuckblessed,5.0,131,"Columbus, OH","Outstanding, especially with Capt, Matty!",0,0
553,Kim Nocula,5.0,3,0,Wonderful,Sep,2021
554,Karen I,5.0,19,"Paradise, TX",Amazing trolley ride,Sep,2021
555,MPBono,4.0,8,"Vero Beach, FL",Consider the two-day ticket,Sep,2021
556,tallmanscalendar,5.0,21,"Sigel, PA",Great drive through Boston history,0,0
557,lovesanimals9,3.0,28,"Columbus, Ohio",Have good walking shoes.,0,0
558,Madeline M,5.0,7,"Toms River, NJ",Boston trolley,Sep,2021
559,Julie D,5.0,4,"Kendallville, IN",Great tour!,0,0
560,Mary B,1.0,1,0,Do not waste your money,Jul,2021
561,Dana,5.0,30,"Hobbs, NM",Hop off Hop On.,0,0
562,Josh W,5.0,1,0,"Request Capt Matty, you won’t be disappointed",Sep,2021
563,Darlene R,5.0,9,"Succasunna, NJ","Best trolley tour,  request Magoo",0,0
564,Deborah W,5.0,31,"Daytona Beach Shores, FL",Greatest Tour Guide,Sep,2021
565,Patty S,5.0,1,0,Informative and fun,Sep,2021
566,J.A.,5.0,2,"Chesapeake, VA",BEST TROLLEY TOUR IN BOSTON  (Ride with MAGOO),Sep,2021
567,KarenU,5.0,6,0,"Great tour, funny and knowledgeable guide",Sep,2021
568,Hudsonrose,5.0,21,"Hudson, WI",Great Time,0,0
569,Debbie Wolcott G,4.0,1,0,Loved the Tour and Uncle Steve!,Sep,2021
570,Jo O,5.0,1,0,Great experience!,Sep,2021
571,KBD87,5.0,"1,067",Arkansas,Great way for first timers to see the City,0,0
572,Jazzgal67,5.0,618,"Brooklyn, NY",Boston tour by trolley,0,0
573,nicolewN9092FG,4.0,2,0,Fun tour to take!,0,0
574,Sharon F,5.0,16,0,Entertaining and Informative tour!,0,0
575,Dawn E,5.0,1,"West Palm Beach, FL",Highly recommend,Sep,2021
576,mamt,5.0,2,San Francisco,Hop On Hop Off trolley tour,Sep,2021
577,sunnybeaches-7,2.0,40,"Amherst, OH",Disappointed,Sep,2021
578,timothy b,5.0,2,"Lakeville, MN",Great time!,0,0
579,Jim Boos,5.0,1,0,Talk to Willie,Sep,2021
580,Jennifer M,5.0,2,0,Wonderful tour!,Sep,2021
581,Kim W,5.0,6,"Louisville, KY",Joe was awesome,Sep,2021
582,Simara,5.0,2,"Altamonte Springs, FL",Awesome tour!,Sep,2021
583,Emily M,5.0,9,"Whitmore Lake, MI",Fun way to see the sights in Boston,Aug,2021
584,lagunanina,5.0,50,"Laguna Niguel, CA",Wonderful and entertaining trolley driver—ask for Magoo!,Sep,2021
585,Day,5.0,13,Puerto Rico,excellent driver,Sep,2021
586,Lmcvay3,5.0,10,0,Review,Sep,2021
587,Scenic520684,5.0,37,Kansas,Great Tour - Highly Recommend!!,Aug,2021
588,Adrian C,5.0,2,"Las Vegas, NV",Drivers are the best!,Sep,2021
589,JillyBean518,5.0,5,0,Well worth the price of admission,0,0
590,cat5bird,5.0,17,"Lawrence, KS",Informative &amp; fun!,0,0
591,Dc Native,2.0,25,"Fairfax, VA",Not enough history to the narration,Sep,2021
592,J W,3.0,35,0,An OK tour of Boston,Jul,2021
593,Stephanie D,4.0,62,0,Best tour guide.....Mr Magoo!,0,0
594,Andrew O,5.0,1,0,HERCULES,Aug,2021
595,Tyler B,5.0,1,0,Absolutely amazing,Aug,2021
596,Carly J,5.0,1,0,A True Bargain .....,Aug,2021
597,Kristie M,5.0,4,0,Great experience,Aug,2021
598,Kaia P,4.0,2,0,Mr. Kelley was awesome,Aug,2021
599,Dreamer46046517614,5.0,1,0,Awesome experience,0,0
600,ETP,5.0,1,"West Hartford, CT",Ask for Magoo!,0,0
601,Morgan C,5.0,1,0,Excellent trip,Aug,2021
602,Jessica O,5.0,1,0,B Town and the Boss!,Aug,2021
603,MNTraveler13,5.0,93,"Minneapolis, MN",Easily Hop on and Off in Boston.,0,0
604,KMH,3.0,9,"Puerto Vallarta, Mexico",Missed the mark with island tour!,0,0
605,terriandjeffh,5.0,1,0,Outstanding,Aug,2021
606,mandy-cysiewski,5.0,2,"Madison, WI",Best trolley tour!,Aug,2021
607,gep17,5.0,3,Cohoes,Best tour ever,0,0
608,Tammy M,5.0,8,0,Best trolley tour,Aug,2021
609,Michael P,5.0,2,"theresa, United States",Tour guide,Aug,2021
610,Debra O,5.0,45,"Westview, KY",Trollyeing around Boston,Aug,2021
611,kyle m,1.0,1,0,Please avoid if you can,Aug,2021
612,Enrico S,5.0,1,"Mesa, AZ",Great!,0,0
613,Paula M,2.0,47,"Belmont, NC",WATING AND WAITING AND WAITING,Jul,2021
614,Stacy O,5.0,1,0,Awesome experience. Highly recommend,Aug,2021
615,MsNikki1202,5.0,27,"Holly Springs, NC",100% Recommend,Aug,2021
616,Zach P,5.0,1,0,Amazing!!,Aug,2021
617,Richard P,5.0,28,0,Amazing!,0,0
618,Joe N,5.0,3,"Saint Charles, IL",Trolley Tour was memorable,Aug,2021
619,cynthia w,5.0,7,0,Hercules was the Best,Aug,2021
620,tomschwab2000,5.0,10,"Lincoln Park, NJ",Worth it!,Aug,2021
621,Kate M,5.0,2,0,Hop on the trolley!,Aug,2021
622,Laurie P,4.0,"7,407","Cortland, NY",Good For Touring...not as good for hopping on and off,Aug,2021
623,Lorissa M,5.0,1,0,Great tour!,Aug,2021
624,jeannie410,5.0,21,"Orlando, FL",fun and informative tour,Jul,2021
625,Shannon W.,4.0,86,"Payson, UT",Great Way to see Boston Sights,Aug,2021
626,Donna L,5.0,37,"Rochester, NY",Definitely worth it,Aug,2021
627,Marc_1,5.0,1,0,Great tour,Aug,2021
628,Diana J,5.0,1,0,Awesome tour,Aug,2021
629,Josie,5.0,7,"Manhasset, NY",Do not miss it!,0,0
630,Lindsay F,1.0,61,0,Not worth the money.,0,0
631,inoliz,5.0,4,"Chatham, IL",Highly recommended especially for first timers!,0,0
632,Christina,1.0,1,0,Disgusted,Aug,2021
633,Casey L,3.0,2,0,Can’t go wrong with Capt. Matty,Aug,2021
634,Jerry M,5.0,2,"Peoria, AZ","Had an excellent experience, tour guide very informative.  Overall great experience.",Aug,2021
635,Stark B,5.0,2,0,Tours!,Aug,2021
636,Rebecca M,5.0,4,0,Great tour,0,0
637,deeintx,5.0,20,"New York City, NY",Hop-on Hop-Off Trolley Well worth it!,0,0
638,Tia M,5.0,2,0,Great experience,Aug,2021
639,Saeed A,5.0,2,"Jeddah, Saudi Arabia",Old Trolley tours in Boston,0,0
640,Steve,4.0,1,"Charlotte, NC",The best way to tour Boston.,Jul,2021
641,Hockeybo,4.0,365,"Augusta, ME",Ticket was thought to find but then good tour.,0,0
642,Tricia618,5.0,6,"Chicago, IL",Neighborhoods/Attractions  Sightseeing,0,0
643,Aggie97jen,5.0,10,0,Great!,Jul,2021
644,PhxRaven,5.0,35,"Tempe, AZ",Great tour of Boston,0,0
645,michellelea2017,5.0,8,0,Excellent,0,0
646,KSpare,5.0,1,0,"McGoo, an excellent experience.",Jul,2021
647,Elizabeth N,5.0,38,"Sollentuna, Stockholms Län, Sweden",Shout out to Uncle Steve-a great tour driver and guide!,Jul,2021
648,SteveCindyUSA,5.0,95,"Medford, OR",Tour Guide Mr. Kelly was a Blast,Jul,2021
649,martha d,4.0,2,"Havre de Grace, Maryland",First Visit to Boston,Jul,2021
650,Joanne G,3.0,10,Oak Lawn,Tickets what??? You used them!,Jul,2021
651,Jeffrey C,5.0,1,"Gibsonia, PA",Great Tour of Boston!,0,0
652,f2468c,5.0,15,"Tokyo, Japan","Great fun, friendly abs fun drivers",Jul,2021
653,Michelle,5.0,1,0,Pleasantly Surprised,Jul,2021
654,MLE0904,5.0,625,"Las Vegas, NV",Easy way to get around,Jun,2021
655,2013TravelinFool,4.0,"2,688","Mesquite, NV",Had a great time,0,0
656,kathy l,4.0,3,"Baltimore, MD",Great way to see the city,0,0
657,Jessica B,5.0,2,0,Wicked awesome,Jul,2021
658,Anna,5.0,1,Michigan,"Fun, Easy &amp; Educational",0,0
659,Sonya S,5.0,2,0,Take This Tour,Jul,2021
660,Joann B,5.0,53,"Bountiful, UT",Great Trolley Tour,Jul,2021
661,Grayson5,5.0,261,"Opelika, AL",Great way to tour Boston,Jul,2021
662,Vacation Fun!,5.0,6,"Cheektowaga, NY",Boston Trolley,0,0
663,Lisa W,5.0,19,0,Must Do!!,Jul,2021
664,Tracey W,3.0,1,0,Too Long,Jul,2021
665,Smaley,5.0,4,0,Great day,Jul,2021
666,Pee_Truck,5.0,64,"Cleveland, OH",Lots of views of the city,0,0
667,BeerCox69,5.0,31,"Hatboro, PA",Wicked awesome tour!!!,0,0
668,Josip K,5.0,1,0,Great trolley tour,Jul,2021
669,Skyler Barger,5.0,4,"East Lyme, CT",Herc is the man!,0,0
670,David Y,5.0,1,0,Loved the Trolley!,Jun,2021
671,atallen2003,4.0,43,"Ramsey, IN",Two memorable tour guides— one good— one BAD!,Jul,2021
672,Jan L,5.0,1,0,Worth the price!,Jul,2021
673,Lisa K,5.0,2,0,When your dogs are barking it’s trolley time!,Jul,2021
674,Cinthia,5.0,3,"Boston, MA",Nice trolley!,0,0
675,Trainingisfun,5.0,22,"Carrollton, TX",It’s all about the people,0,0
676,Christina R,5.0,9,"Maple Grove, MN",Great way to travel!,0,0
677,marauderblueteam,5.0,16,"New York City, NY",Unforgettable Trolley Tour with Magoo,Jun,2021
678,Truth is B,5.0,1,0,Overall great experience !,Jul,2021
679,Corey H,5.0,5,0,Well Worth It,0,0
680,Nina V,5.0,3,0,Trolley Tours,Jun,2021
681,Roxann Pinguelo,5.0,4,"Easton, PA",Magoo was awesome!,0,0
682,D Chen,1.0,1,0,"Tour is good, but not this driver Laurent is horrible",Jun,2021
683,Anne K,5.0,2,0,Boston hop on and off old town trolley.,0,0
684,Joyce D,2.0,3,0,Not worth the money,Jun,2021
685,Isabel N,1.0,88,"Miami, FL",Not practical or worth cost.,0,0
686,Justin R,5.0,1,0,Great tour,Jun,2021
687,Betsy S,5.0,1,0,Great service and your guides,Jun,2021
688,Alisa M,4.0,5,"Duncansville, PA",Great way to see Boston when you have limited time,Jun,2021
689,wendy82761,5.0,8,"Grand Bay, AL",Fun and Informative!,Jun,2021
690,Joe E,5.0,37,"Farmington, MN",Hop On Hop Off Boston,0,0
691,Don K,5.0,2,"New York City, NY",Lisbon is a 5 Star Guide,Jun,2021
692,Joseph B,4.0,6,0,Boston Hop On,Jun,2021
693,Marguerite D,5.0,1,0,Ya did great Magoo,Jun,2021
694,DFS60,4.0,313,"Norwich, CT",Best for adults,Jun,2021
695,A v,5.0,12,"Southlake, TX",Worth it,Jun,2021
696,rangerswife02,5.0,13,0,Fun  tour,0,0
697,Alex R,5.0,7,"Little Elm, Texas, United States",GREAT,May,2021
698,Danielle Fernandez,5.0,624,"Lake Alfred, FL",Best Way to See Boston!,0,0
699,Mary K,5.0,1,0,Definitely Recommend,May,2021
700,lcangel1,5.0,38,"Pottsville, AR",Great way to get a feel for the city.,May,2021
701,Rafy S,5.0,1,0,Best trip,May,2021
702,maryk12162019,1.0,5,"Malakoff, TX",No Seats to Reboard,May,2021
703,FarAway307689,5.0,1,0,An excellent good time!,Apr,2021
704,John M,5.0,3,0,Hidden gem on the trolley tour,May,2021
705,larryrneal2016,2.0,474,"Warren, PA","No HOP ON-HOP OFF, just a ride around.",Apr,2021
706,Wendy S,4.0,15,"Austin, TX",Too expensive for what you get during COVID guidelines.,Apr,2021
707,EvelynHamilton_NJ,4.0,76,"Hamilton, NJ",Great Boston Overview,Apr,2021
708,Helen V,1.0,1,0,Disappointed,Apr,2021
709,The Hilts's,4.0,2,0,Fun and interactive,Mar,2021
710,T. Ski,3.0,46,"Marlton, NJ",OK but not great (as tours in other cities).,0,0
711,James P,5.0,1,0,Old Time Trolley of Boston,Feb,2021
712,Nathely S,5.0,2,"Birmingham, AL",Great time to see Boston,Feb,2021
713,Rachel A,5.0,1,0,Great tour and way to see Boston!,Nov,2020
714,Alyssa Ann,5.0,12,"Washington DC, DC",GREAT EXPERIENCE,Jan,2020
715,Kristina G,5.0,1,0,Fun way to see beautiful city!,Dec,2020
716,Abhishek D,5.0,2,0,Wholesome experience,Nov,2020
717,Ken P,5.0,11,"Warren, MI",Worth the admission,Nov,2020
718,LouisePompilii,1.0,28,0,Disappointed,Oct,2020
719,Sam M,4.0,4,0,"Welby is the man, Covid restrictions",Oct,2020
720,antoniorF6586PH,5.0,71,"Trenton, NJ",Weekend trip,0,0
721,Jeff C,5.0,6,"Chicago, IL",Great Tour,Oct,2020
722,Carrie F,5.0,2,0,Amazing service and safety,Sep,2020
723,Brandon B,5.0,37,"Baton Rouge, LA",Great guides and excellent tour,0,0
724,Helen W,5.0,1,"Beacon, NY",Boston,Oct,2020
725,Pamela O,5.0,5,"Holland, OH",Great way to see the city,Oct,2020
726,Annette K,5.0,45,"Phoenix, AZ",Great way to see Boston,Oct,2020
727,Studio9,2.0,145,"Las Vegas, NV",A good tour - some days...,Oct,2020
728,Angie R,5.0,1,"Boston, MA",Best tour guide,Oct,2020
729,NS2,3.0,1,0,Directions for stops needs to be updated.,Oct,2020
730,Steve L,5.0,1,0,"Wow, Wow, Wow What a city!  What a WONDERFUL TOUR GUIDE",Sep,2020
731,elizabeth rose,5.0,87,Illinois,A must do!,0,0
732,Marie S,5.0,1,0,Great Way to See Boston,Sep,2020
733,courtney d,4.0,6,0,Worth the money,Sep,2020
734,Shawna P,5.0,2,"Clovis, CA",Best tour guide and tour!,Sep,2020
735,jojojem,5.0,6,"Lyndhurst, NJ",Great way to see the Sights,Sep,2020
736,rachsantana,5.0,21,0,Great Informative Tour,Sep,2020
737,Janet,5.0,3,0,Touring Boston,Sep,2020
738,holystandard,5.0,60,"Fort Lauderdale, FL",Batmam Forever!!!,0,0
739,Austin C,5.0,3,0,"Live, Laugh, Learn!",Sep,2020
740,Cooks1820,5.0,50,"Staten Island, NY",So worth the money,Sep,2020
741,Damian R,5.0,1,0,Devlin rocks!,Sep,2020
742,Worldtravelers,5.0,4,0,Devlin was great,0,0
743,AjayCha,5.0,96,"Chicago, IL",Great way to quickly visit key sites,Aug,2020
744,Matt mapes,5.0,1,0,Love the trolley,Aug,2020
745,delphinium,5.0,132,nj,Great way to see Boston,Aug,2020
746,Sharleen R,5.0,1,0,Awesome,Aug,2020
747,_danielle32270,5.0,8,"Linwood, PA",JOE...JOE...JOE,Aug,2020
748,Klaus McCarthy,4.0,11,"Rochester, NY",Very entertaining but....,0,0
749,Brigid A,5.0,1,0,"Great experience, a must if visiting Boston",Aug,2020
750,Harshil,4.0,1,0,Roaming around Boston done right,Aug,2020
751,packerbeer,5.0,149,0,"Great ride, informative and great way to get a feel for the city",Jul,2020
752,wanderlustSKF,4.0,20,"Akron, OH",Wanted more,0,0
753,Crissy C,4.0,13,"Seaside, OR",Great!,Jul,2020
754,Fiona the food lover,5.0,3,"Tempe, AZ","Astonished!  Incredible!  How many balls in the air can one person keep going?  For one conductor, it seemed limitless.",Jul,2020
